30/06/2022 13:52:10 : Gerando Json
30/06/2022 13:52:10 : Enviando para Protheus
30/06/2022 13:52:13 : Dados Integrados com Sucesso!
Abastecimento ID :6708 Status :ATUALIZADO
Abastecimento ID :6636 Status :ATUALIZADO
Abastecimento ID :6640 Status :ATUALIZADO
Abastecimento ID :6622 Status :ATUALIZADO
Abastecimento ID :6631 Status :ATUALIZADO
Abastecimento ID :6638 Status :ATUALIZADO
Abastecimento ID :6643 Status :ATUALIZADO
Abastecimento ID :6624 Status :ATUALIZADO
Abastecimento ID :6629 Status :ATUALIZADO
Abastecimento ID :6625 Status :ATUALIZADO
Abastecimento ID :6628 Status :ATUALIZADO
Abastecimento ID :6642 Status :ATUALIZADO
Abastecimento ID :6607 Status :ATUALIZADO
Abastecimento ID :6618 Status :ATUALIZADO
Abastecimento ID :6633 Status :ATUALIZADO
Abastecimento ID :6602 Status :ATUALIZADO
Abastecimento ID :6605 Status :ATUALIZADO
Abastecimento ID :6621 Status :ATUALIZADO
Abastecimento ID :6619 Status :ATUALIZADO
Abastecimento ID :6614 Status :ATUALIZADO
Abastecimento ID :6613 Status :ATUALIZADO
Abastecimento ID :6637 Status :ATUALIZADO
Abastecimento ID :6617 Status :ATUALIZADO
Abastecimento ID :6641 Status :ATUALIZADO
Abastecimento ID :6635 Status :ATUALIZADO
Abastecimento ID :6645 Status :ATUALIZADO
Abastecimento ID :6599 Status :ATUALIZADO
Abastecimento ID :6608 Status :ATUALIZADO
Abastecimento ID :6620 Status :ATUALIZADO
Abastecimento ID :6623 Status :ATUALIZADO
Abastecimento ID :6648 Status :ATUALIZADO
Abastecimento ID :6646 Status :ATUALIZADO
Abastecimento ID :6615 Status :ATUALIZADO
Abastecimento ID :6630 Status :ATUALIZADO
Abastecimento ID :6606 Status :ATUALIZADO
Abastecimento ID :6647 Status :ATUALIZADO
Abastecimento ID :6644 Status :ATUALIZADO
Abastecimento ID :6601 Status :ATUALIZADO
Abastecimento ID :6609 Status :ATUALIZADO
Abastecimento ID :6627 Status :ATUALIZADO
Abastecimento ID :6610 Status :ATUALIZADO
Abastecimento ID :6612 Status :ATUALIZADO
Abastecimento ID :6600 Status :ATUALIZADO
Abastecimento ID :6639 Status :ATUALIZADO
Abastecimento ID :6603 Status :ATUALIZADO
Abastecimento ID :6632 Status :ATUALIZADO
Abastecimento ID :6611 Status :ATUALIZADO
Abastecimento ID :6616 Status :ATUALIZADO
Abastecimento ID :6604 Status :ATUALIZADO
