30/06/2022 14:12:04 : Gerando Json
30/06/2022 14:12:04 : Enviando para Protheus
30/06/2022 14:12:05 : Dados Integrados com Sucesso!
Abastecimento ID :7387 Status :ATUALIZADO
Abastecimento ID :7385 Status :ATUALIZADO
Abastecimento ID :7381 Status :ATUALIZADO
Abastecimento ID :7382 Status :ATUALIZADO
Abastecimento ID :7386 Status :ATUALIZADO
Abastecimento ID :7376 Status :ATUALIZADO
Abastecimento ID :7394 Status :INCLUIDO
Abastecimento ID :7358 Status :ATUALIZADO
Abastecimento ID :7384 Status :ATUALIZADO
Abastecimento ID :7353 Status :ATUALIZADO
Abastecimento ID :7390 Status :INCLUIDO
Abastecimento ID :7351 Status :ATUALIZADO
Abastecimento ID :7396 Status :INCLUIDO
Abastecimento ID :7380 Status :ATUALIZADO
Abastecimento ID :7350 Status :ATUALIZADO
Abastecimento ID :7352 Status :ATUALIZADO
Abastecimento ID :7378 Status :ATUALIZADO
Abastecimento ID :7379 Status :ATUALIZADO
Abastecimento ID :7383 Status :ATUALIZADO
Abastecimento ID :7391 Status :INCLUIDO
Abastecimento ID :7393 Status :INCLUIDO
Abastecimento ID :7389 Status :INCLUIDO
Abastecimento ID :7392 Status :INCLUIDO
Abastecimento ID :7356 Status :ATUALIZADO
Abastecimento ID :7388 Status :ATUALIZADO
Abastecimento ID :7355 Status :ATUALIZADO
Abastecimento ID :7363 Status :ATUALIZADO
Abastecimento ID :7375 Status :ATUALIZADO
Abastecimento ID :7369 Status :ATUALIZADO
Abastecimento ID :7377 Status :ATUALIZADO
Abastecimento ID :7368 Status :ATUALIZADO
Abastecimento ID :7357 Status :ATUALIZADO
Abastecimento ID :7374 Status :ATUALIZADO
Abastecimento ID :7354 Status :ATUALIZADO
Abastecimento ID :7362 Status :ATUALIZADO
Abastecimento ID :7370 Status :ATUALIZADO
Abastecimento ID :7366 Status :ATUALIZADO
Abastecimento ID :7361 Status :ATUALIZADO
Abastecimento ID :7372 Status :ATUALIZADO
Abastecimento ID :7371 Status :ATUALIZADO
Abastecimento ID :7373 Status :ATUALIZADO
Abastecimento ID :7364 Status :ATUALIZADO
Abastecimento ID :7360 Status :ATUALIZADO
Abastecimento ID :7400 Status :INCLUIDO
Abastecimento ID :7359 Status :ATUALIZADO
Abastecimento ID :7367 Status :ATUALIZADO
Abastecimento ID :7398 Status :INCLUIDO
Abastecimento ID :7397 Status :INCLUIDO
Abastecimento ID :7365 Status :ATUALIZADO
Abastecimento ID :7399 Status :INCLUIDO
Abastecimento ID :7331 Status :ATUALIZADO
Abastecimento ID :7395 Status :INCLUIDO
Abastecimento ID :7335 Status :ATUALIZADO
Abastecimento ID :7332 Status :ATUALIZADO
Abastecimento ID :7325 Status :ATUALIZADO
